id,name,kind,packet,contacted,channel,replied,status,notes
andon,Andon Labs,organization,outreach/andon.md,2026-09-15,email,,"sent, awaiting reply",
apollo,Apollo Research,organization,outreach/apollo.md,2026-09-15,email,,"sent, awaiting reply", sent 2026-09-15 via Gmail
averi,AVERI,organization,outreach/averi.md,2026-09-15,email,,"sent, awaiting reply", sent 2026-09-15 via Gmail
cais,Center for AI Safety,organization,outreach/cais.md,2026-09-15,email,,"sent, awaiting reply", sent 2026-09-15 via Gmail
dreadnode,Dreadnode,organization,outreach/dreadnode.md,2026-09-15,email,,"sent, awaiting reply",
epoch,Epoch AI,organization,outreach/epoch.md,,,,"packet ready, not sent",
equistamp,EquiStamp,organization,outreach/equistamp.md,,,,"packet ready, not sent",
euaio,EU AI Office,organization,outreach/euaio.md,2026-09-15,email,,"sent, awaiting reply",
farai,FAR.AI,organization,outreach/farai.md,2026-09-15,email,,"sent, awaiting reply",
grayswan,Gray Swan,organization,outreach/grayswan.md,2026-09-15,email,,"sent, awaiting reply",
hal,Holistic Agent Leaderboard (Princeton),organization,outreach/hal.md,,,,"packet ready, not sent",
hfoai,Hugging Face Open Alignment Initiative,organization,outreach/hfoai.md,,,,"packet ready, not sent",
humane,Humane Intelligence,organization,outreach/humane.md,2026-09-15,email,,"sent, awaiting reply",
irregular,Irregular (formerly Pattern Labs),organization,outreach/irregular.md,2026-09-15,email,,"sent, awaiting reply",
metr,METR,organization,outreach/metr.md,2026-09-15,email,,"sent, awaiting reply",
msft,Microsoft AI Red Team,organization,outreach/msft.md,2026-09-15,email,,"sent, awaiting reply",
mlcommons,MLCommons (AILuminate),organization,outreach/mlcommons.md,2026-09-15,email,,"sent, awaiting reply",
nemesys,Nemesys Insights,organization,outreach/nemesys.md,2026-09-15,email,,"sent, awaiting reply",
palisade,Palisade Research,organization,outreach/palisade.md,2026-09-15,email,,"sent, awaiting reply",
rand,RAND,organization,outreach/rand.md,2026-09-15,email,,"sent, awaiting reply",
redwood,Redwood Research,organization,outreach/redwood.md,2026-09-15,email,,"sent, awaiting reply",
saferai,SaferAI,organization,outreach/saferai.md,2026-09-15,email,,"sent, awaiting reply",
scale,Scale AI (SEAL / Scale Labs),organization,outreach/scale.md,2026-09-15,email,,"sent, awaiting reply",
securebio,SecureBio,organization,outreach/securebio.md,2026-09-15,email,,"sent, awaiting reply",
transluce,Transluce,organization,outreach/transluce.md,2026-09-15,email,,"sent, awaiting reply",
ukaisi,UK AI Security Institute,organization,outreach/ukaisi.md,2026-09-15,email,,"sent, awaiting reply",
caisi,US CAISI (NIST),organization,outreach/caisi.md,2026-09-15,email,,"sent, awaiting reply",
tallinn,Jaan Tallinn,person,outreach/person-tallinn.md,2026-09-15,email,,"sent, awaiting reply",
