recipient,type,in_gate,contact_email,contact_page_url,source_url,confidence,notes
andon,org,yes,,https://andonlabs.com/evals/vending-bench,https://andonlabs.com/evals/vending-bench,low,Official site has a 'Contact us at ...' mailto link on eval pages but the address is redacted in text extraction; no verifiable address found without guessing.
apollo,org,yes,info@apolloresearch.ai,https://www.apolloresearch.ai/contact/,https://www.apolloresearch.ai/contact/,high,"Official Contact Us page lists info@apolloresearch.ai for partnerships, policy, client and general inquiries."
averi,org,yes,miles.brundage@averi.org,https://www.averi.org/ourwork/frontier-ai-auditing,https://www.averi.org/ourwork/frontier-ai-auditing,medium,"No generic contact inbox found; official paper lists corresponding author Miles Brundage at miles.brundage@averi.org (AVERI). Person-specific, not a general inbox."
cais,org,yes,media@safe.ai,https://safe.ai/about/media,https://safe.ai/about/media,high,Official Media & Press page lists media@safe.ai.
dreadnode,org,yes,contact@dreadnode.io,https://dreadnode.io/company/policy/,https://cdn.prod.website-files.com/67bcddfbe30df92be5cc1ea0/69037e8cb9a894a444e1d9a5_Dreadnode_2025%20Regulatory%20Reform%20on%20Artificial%20Intelligence_RFI.pdf,high,Verified verbatim in Dreadnode's official regulatory-reform RFI submission ('please email contact@dreadnode.io'); policy page also lists daria@dreadnode.io for policy collaboration.
epoch,org,no,press@epoch.ai,https://epoch.ai/about/press,http://epoch.ai/about,high,"Official About page: journalists 'please reach out to press@epoch.ai', phone +1 (650) 449-7269; team page also lists info@epoch.ai for general questions."
equistamp,org,yes,,https://www.equistamp.com,https://www.equistamp.com,low,No public email found on equistamp.com homepage; no contact page located.
euaio,org,yes,CNECT-AIOFFICE@ec.europa.eu,https://digital-strategy.ec.europa.eu/it/node/12445,https://digital-strategy.ec.europa.eu/it/node/12445,high,Official European AI Office page lists CNECT-AIOFFICE@ec.europa.eu for general inquiries.
farai,org,yes,media@far.ai,https://far.ai,https://aapnews.aap.com.au/aapreleases/cision20260729AE15311,medium,"FAR.AI's own Singapore-office press release (syndicated, marked SOURCE FAR.AI) lists media@far.ai; no official contact/press page found on far.ai itself."
grayswan,org,yes,press@grayswan.ai,https://lifestyle.middletownlifemagazine.com/story/501850/gray-swan-the-ai-security-company-trusted-by-every-major-frontier-lab-raises-40m-series-a/,https://lifestyle.middletownlifemagazine.com/story/501850/gray-swan-the-ai-security-company-trusted-by-every-major-frontier-lab-raises-40m-series-a/,medium,Press contact block in Gray Swan's own 2026-05-28 Series A release (Samantha Link); third-party repub of company release
